beginpoint,endpoint,period,libsetup,checktype,required,arrival,slack,launchclk,captureclk,skew,fanout,netdelay,netcount,instcount,invdelay,bufdelay,combodelay,seqdelay,totaldelay,invcount,bufcount,combocount,seqcount,portcount,load,wirelength
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[28]/D,1.200,0.083,Setup Check,1.117,2.229,-1.112,-0.155,0.0,0.155,124,0.044,20,20,0.203,0.0,1.984,0.15,0.0,3,0,16,1,0,0.155,379.6149999999999
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[29]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[29]/D,1.200,0.08,Setup Check,1.12,2.451,-1.331,-0.155,0.0,0.155,127,0.045,22,22,0.311,0.0,2.1,0.15,0.0,4,0,17,1,0,0.171,441.165
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[2]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[2]/D,1.200,0.065,Setup Check,1.135,2.292,-1.157,-0.155,0.0,0.155,136,0.024,23,23,0.332,0.0,1.938,0.15,0.0,4,0,18,1,0,0.156,347.619
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[30]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[30]/D,1.200,0.08,Setup Check,1.12,2.329,-1.208,-0.155,0.0,0.155,131,0.026,21,21,0.4639999999999999,0.0,1.8430000000000004,0.15,0.0,5,0,15,1,0,0.167,418.04
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[31]/CDN,1.200,0.0,Recovery Check,6.308,0.24,6.068,0.24,0.086,-0.154,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[31]/D,1.200,0.066,Setup Check,1.24,2.331,-1.091,-0.155,0.105,0.26,131,0.04,22,22,0.203,0.0,2.09,0.15,0.0,3,0,18,1,0,0.158,371.824
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[3]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[3]/D,1.200,0.065,Setup Check,1.135,2.319,-1.185,-0.155,0.0,0.155,128,0.02,21,21,0.509,0.0,1.7940000000000005,0.15,0.0,5,0,15,1,0,0.16,390.131
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[4]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[4]/D,1.200,0.066,Setup Check,1.134,2.24,-1.106,-0.155,0.0,0.155,121,0.021,20,20,0.2,0.0,2.023000000000001,0.15,0.0,3,0,16,1,0,0.149,352.614
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[5]/CDN,1.200,0.0,Recovery Check,6.308,0.24,6.068,0.24,0.086,-0.154,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[5]/D,1.200,0.079,Setup Check,1.226,2.17,-0.944,-0.155,0.105,0.26,130,0.026,20,20,0.341,0.0,1.806,0.15,0.0,4,0,15,1,0,0.162,399.663
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[6]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[6]/D,1.200,0.089,Setup Check,1.111,2.205,-1.094,-0.155,0.0,0.155,119,0.023,19,19,0.2,0.0,1.987,0.15,0.0,3,0,15,1,0,0.151,361.0709999999999
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[7]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[7]/D,1.200,0.08,Setup Check,1.12,2.201,-1.081,-0.155,0.0,0.155,122,0.02,20,20,0.363,0.0,1.8230000000000004,0.15,0.0,4,0,15,1,0,0.15,351.057
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[8]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[8]/D,1.200,0.079,Setup Check,1.121,2.233,-1.112,-0.155,0.0,0.155,125,0.034,20,20,0.203,0.0,2.0,0.15,0.0,3,0,16,1,0,0.149,341.659
/rst_ni,cs_registers_i_u_mepc_csr_rdata_q_reg[9]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mepc_csr_rdata_q_reg[9]/D,1.200,0.08,Setup Check,1.12,2.419,-1.299,-0.155,0.0,0.155,131,0.042,21,21,0.366,0.0,2.013,0.15,0.0,4,0,16,1,0,0.16,384.017
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[0]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[0]/D,1.200,0.147,Setup Check,1.053,2.236,-1.183,-0.155,0.0,0.155,128,0.043,19,19,0.203,0.0,1.994,0.15,0.0,3,0,15,1,0,0.154,362.495
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[10]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[10]/D,1.200,0.157,Setup Check,1.043,2.266,-1.223,-0.155,0.0,0.155,128,0.046,19,19,0.203,0.0,2.019,0.15,0.0,3,0,15,1,0,0.158,388.883
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[11]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[11]/D,1.200,0.113,Setup Check,1.087,2.264,-1.177,-0.155,0.0,0.155,128,0.05,20,20,0.203,0.0,2.013,0.15,0.0,3,0,16,1,0,0.161,394.344
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[12]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[12]/D,1.200,0.099,Setup Check,1.101,2.28,-1.179,-0.155,0.0,0.155,131,0.046,20,20,0.328,0.0,1.9090000000000005,0.15,0.0,4,0,15,1,0,0.164,408.8329999999999
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[13]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[13]/D,1.200,0.111,Setup Check,1.089,2.283,-1.194,-0.155,0.0,0.155,123,0.044,20,20,0.2,0.0,2.044,0.15,0.0,3,0,16,1,0,0.163,413.796
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[14]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[14]/D,1.200,0.101,Setup Check,1.099,2.17,-1.071,-0.155,0.0,0.155,126,0.025,19,19,0.363,0.0,1.7870000000000004,0.15,0.0,4,0,14,1,0,0.159,390.335
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[15]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[15]/D,1.200,0.117,Setup Check,1.083,2.281,-1.198,-0.155,0.0,0.155,129,0.039,21,21,0.384,0.0,1.862,0.15,0.0,4,0,16,1,0,0.168,418.2609999999999
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[16]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[16]/D,1.200,0.093,Setup Check,1.107,2.247,-1.141,-0.155,0.0,0.155,126,0.021,20,20,0.505,0.0,1.7270000000000003,0.15,0.0,5,0,14,1,0,0.157,376.717
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[17]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[17]/D,1.200,0.099,Setup Check,1.101,2.219,-1.118,-0.155,0.0,0.155,125,0.021,19,19,0.509,0.0,1.6930000000000005,0.15,0.0,5,0,13,1,0,0.158,386.272
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[1]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[1]/D,1.200,0.104,Setup Check,1.096,2.228,-1.132,-0.155,0.0,0.155,124,0.036,21,21,0.2,0.0,1.9950000000000003,0.15,0.0,3,0,17,1,0,0.156,375.62299999999993
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[2]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[2]/D,1.200,0.151,Setup Check,1.049,2.245,-1.196,-0.155,0.0,0.155,128,0.046,19,19,0.203,0.0,1.999,0.15,0.0,3,0,15,1,0,0.155,366.71
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[3]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[3]/D,1.200,0.134,Setup Check,1.066,2.215,-1.149,-0.155,0.0,0.155,126,0.044,19,19,0.203,0.0,1.973,0.15,0.0,3,0,15,1,0,0.153,356.15099999999995
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[4]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[4]/D,1.200,0.096,Setup Check,1.104,2.181,-1.077,-0.155,0.0,0.155,126,0.026,20,20,0.434,0.0,1.7280000000000002,0.15,0.0,5,0,14,1,0,0.159,395.14900000000006
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[5]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[5]/D,1.200,0.101,Setup Check,1.099,2.257,-1.158,-0.155,0.0,0.155,124,0.037,21,21,0.2,0.0,2.023,0.15,0.0,3,0,17,1,0,0.157,373.5369999999999
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[6]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[6]/D,1.200,0.113,Setup Check,1.087,2.235,-1.148,-0.155,0.0,0.155,129,0.052,20,20,0.304,0.0,1.883,0.15,0.0,4,0,15,1,0,0.161,401.06000000000006
/rst_ni,cs_registers_i_u_mie_csr_rdata_q_reg[7]/CDN,1.200,0.0,Recovery Check,6.221,0.24,5.981,0.24,0.0,-0.24,1652,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.402,2082.527
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_u_mie_csr_rdata_q_reg[7]/D,1.200,0.149,Setup Check,1.051,2.243,-1.192,-0.155,0.0,0.155,126,0.045,19,19,0.203,0.0,1.997,0.15,0.0,3,0,15,1,0,0.157,375.88499999999993
